what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491644997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491646529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1318491646560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491647592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491648531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1318491648559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491649631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491650570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1318491650597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491651181
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318491652972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491653337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491655123
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1318491659748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491664484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318491664605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491665123
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491666831
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1318491675924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491676632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491685400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491686779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491687252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491692792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491696139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491697095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491702892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491704841
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491705899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318491710702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491712433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491712687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318491716084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491719320
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1318491721399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491721615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1318491721640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491723597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491727288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491727577
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1318491728204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491730521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491736206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491737312
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1318491738909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1318491739180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491741034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491743358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318491743801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491743990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491747128
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1318491750797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318491751442
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1318491753433
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491753600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491754742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491785665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491787144
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318491787860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491789374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491913288
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1318491917575
error,log,,,"Core exception while retrieving the content description",1318491920591
error,log,,,"Core exception while retrieving the content description",1318491920592
error,log,,,"Core exception while retrieving the content description",1318491920592
error,log,,,"Core exception while retrieving the content description",1318491920594
error,log,,,"Core exception while retrieving the content description",1318491920594
error,log,,,"Core exception while retrieving the content description",1318491920595
error,log,,,"Core exception while retrieving the content description",1318491920598
error,log,,,"Core exception while retrieving the content description",1318491920599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491925157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491990127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491997553
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318491997600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318491997629
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318491997695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1318492000263
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318492000264
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1318492001020
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318492001319
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1318492001376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1318492002757
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1318492004146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318492010814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318492011071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318492011656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318492016012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318492017996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318492018219
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1318492022035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318492022372
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1318492028866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1318492031444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318492031780
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1318492032019
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1318492039683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1318492040138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1318492040478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318492043988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1318492044204
